Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90
250,Ihlas Bebou,tg TOG,FWMF,FW,Hoffenheim,de Bundesliga,31,1994,16,0,190,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0
251,Samu Becerra,es ESP,MF,MF,Rayo Vallecano,es La Liga,19,2006,3,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Adrian Beck,de GER,MF,MF,Heidenheim,de Bundesliga,28,1997,24,9,868,9.6,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21
253,Sheraldo Becker,sr SUR,FWMF,FW,Osasuna,es La Liga,30,1995,9,0,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Sheraldo Becker,sr SUR,FW,FW,Mainz 05,de Bundesliga,30,1995,14,11,946,10.5,3,3,6,3,0,0,2,0,0.29,0.29,0.57,0.29,0.57
255,Donny van de Beek,nl NED,MF,MF,Girona,es La Liga,28,1997,2,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Tjaš Begić,si SVN,MF,MF,Parma,it Serie A,22,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Hannes Behrens,de GER,DFMF,DF,Heidenheim,de Bundesliga,20,2005,16,15,1318,14.6,1,2,3,1,0,0,0,0,0.07,0.14,0.2,0.07,0.2
258,Maximilian Beier,de GER,MFFW,MF,Dortmund,de Bundesliga,22,2002,32,24,2026,22.5,9,6,15,9,0,0,3,0,0.4,0.27,0.67,0.4,0.67
259,Luken Beitia,es ESP,DF,DF,Real Sociedad,es La Liga,21,2004,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Ismael Bekhoucha,ma MAR,DF,DF,Getafe,es La Liga,20,2004,4,1,122,1.4,0,1,1,0,0,0,2,0,0,0.74,0.74,0,0.74
261,Reda Belahyane,ma MAR,MF,MF,Lazio,it Serie A,21,2004,13,5,609,6.8,0,2,2,0,0,0,1,1,0,0.3,0.3,0,0.3
262,Rayane Belaid,es ESP,MFFW,MF,Atlético Madrid,es La Liga,20,2005,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Rafik Belghali,dz ALG,MF,MF,Hellas Verona,it Serie A,23,2002,26,22,1920,21.3,2,0,2,2,0,0,6,0,0.09,0,0.09,0.09,0.09
264,Haris Belkebla,dz ALG,MF,MF,Angers,fr Ligue 1,31,1994,33,33,2875,31.9,0,0,0,0,0,0,7,0,0,0,0,0,0
265,Yassin Belkhdim,fr FRA,MF,MF,Angers,fr Ligue 1,23,2002,27,26,2135,23.7,2,2,4,2,0,0,5,0,0.08,0.08,0.17,0.08,0.17
266,Stefan Bell,de GER,DF,DF,Mainz 05,de Bundesliga,33,1991,18,13,1039,11.5,2,1,3,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26
267,Armel Bella Kotchap,de GER,DF,DF,Hellas Verona,it Serie A,23,2001,19,14,1347,15,0,0,0,0,0,0,3,0,0,0,0,0,0
268,Raoul Bellanova,it ITA,MF,MF,Atalanta,it Serie A,25,2000,24,15,1377,15.3,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07
