Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,MFFW,MF,Leeds United,eng Premier League,24,2000,27.2,3,0,0,20,51,5,37,17,27,0
2,Jerome Abbey,eng ENG,MF,MF,Wolves,eng Premier League,15,2009,0.2,0,0,0,0,0,1,0,1,0,0
3,Zach Abbott,eng ENG,DF,DF,Nottingham,eng Premier League,19,2006,1.8,0,0,0,3,1,0,3,2,4,0
4,Jones El-Abdellaoui,ma MAR,MFFW,MF,Celta Vigo,es La Liga,19,2006,7.6,0,0,0,7,3,2,30,3,3,0
5,Himad Abdelli,dz ALG,MF,MF,Marseille,fr Ligue 1,25,1999,1.5,1,0,0,3,0,0,1,2,1,0
6,Himad Abdelli,dz ALG,MF,MF,Angers,fr Ligue 1,25,1999,10.5,1,0,0,16,12,1,9,13,17,0
7,Ali Abdi,tn TUN,MFDF,MF,Nice,fr Ligue 1,31,1993,13.2,4,1,1,22,18,1,33,10,11,0
8,Salis Abdul Samed,gh GHA,MF,MF,Nice,fr Ligue 1,25,2000,10.1,3,0,0,19,10,0,2,11,7,0
9,Saud Abdulhamid,sa KSA,MF,MF,Lens,fr Ligue 1,26,1999,15,4,1,0,26,14,1,47,9,22,0
10,Tay Abed,il ISR,MF,MF,Levante,es La Liga,21,2004,1,0,0,0,2,2,0,5,2,1,0
11,Laurent Abergel,fr FRA,MF,MF,Lorient,fr Ligue 1,32,1993,25.8,7,0,0,24,27,1,9,28,23,0
12,Matthis Abline,fr FRA,FWMF,FW,Nantes,fr Ligue 1,22,2003,27.7,6,0,0,32,42,5,62,9,13,0
13,Abner,br BRA,DFMF,DF,Lyon,fr Ligue 1,25,2000,23.9,4,1,0,23,6,1,61,8,24,0
14,Zakaria Aboukhlal,ma MAR,MF,MF,Torino,it Serie A,25,2000,5.7,4,0,0,12,11,7,18,1,12,0
15,Abdel Abqar,ma MAR,DF,DF,Getafe,es La Liga,26,1999,16,10,1,0,30,36,1,2,20,17,0
16,Tammy Abraham,eng ENG,FW,FW,Aston Villa,eng Premier League,27,1997,3.2,0,0,0,2,0,0,1,0,1,0
17,Francis Abu,gh GHA,MF,MF,Toulouse,fr Ligue 1,24,2001,5.8,2,0,0,5,4,0,0,8,12,0
18,Giorgi Abuashvili,ge GEO,MFFW,MF,Metz,fr Ligue 1,22,2003,7.8,1,0,0,8,11,1,38,5,8,0
19,Mathieu Acapandié,mg MAD,DFMF,DF,Nantes,fr Ligue 1,20,2004,2.9,0,0,0,3,0,0,11,3,1,0
20,Francesco Acerbi,it ITA,DF,DF,Inter,it Serie A,37,1988,15.3,3,0,0,17,13,3,3,18,9,0
21,Ragnar Ache,de GER,FW,FW,Köln,de Bundesliga,27,1998,19.1,3,0,0,18,29,10,1,4,8,0
22,Joshua Acheampong,eng ENG,DF,DF,Chelsea,eng Premier League,19,2006,7.4,1,0,0,2,9,2,1,12,8,0
23,Akor Adams,ng NGA,FW,FW,Sevilla,es La Liga,25,2000,22.9,3,0,0,36,12,41,17,1,4,0
24,Ché Adams,sct SCO,FW,FW,Torino,it Serie A,29,1996,21,0,0,0,18,15,9,14,1,9,0
25,Tyler Adams,us USA,MF,MF,Bournemouth,eng Premier League,26,1999,19.7,8,0,0,36,13,1,3,30,24,0
26,Junior Adamu,at AUT,FW,FW,Freiburg,de Bundesliga,24,2001,5,1,0,0,10,9,6,2,5,6,0
27,Tosin Adarabioyo,eng ENG,DF,DF,Chelsea,eng Premier League,27,1997,8.8,2,0,0,6,0,1,0,9,6,0
28,Jayden Addai,nl NED,MF,MF,Como,it Serie A,19,2005,7.6,4,0,0,13,14,2,10,2,2,0
29,Karim Adeyemi,de GER,MFFW,MF,Dortmund,de Bundesliga,23,2002,13.3,5,0,0,21,25,5,11,8,4,0
30,Simon Adingra,ci CIV,MFFW,MF,Sunderland,eng Premier League,23,2002,7.3,2,0,0,18,3,4,27,2,8,0
31,Simon Adingra,ci CIV,MFFW,MF,Monaco,fr Ligue 1,23,2002,9.5,0,0,0,7,8,2,29,6,9,0
32,Nathaniel Adjei,gh GHA,DF,DF,Lorient,fr Ligue 1,22,2002,9.3,0,0,0,8,6,1,1,9,7,1
33,Jonas Adjetey,gh GHA,DF,DF,Wolfsburg,de Bundesliga,21,2003,1.5,1,0,0,4,0,0,4,1,1,0
34,Amine Adli,ma MAR,MF,MF,Bournemouth,eng Premier League,25,2000,12.2,2,0,0,29,23,5,39,6,17,0
35,Adrián,es ESP,GK,GK,Real Betis,es La Liga,38,1987,1,0,0,0,0,0,0,0,0,0,0
36,Vasilije Adžić,me MNE,MF,MF,Juventus,it Serie A,19,2006,1.9,0,0,0,3,2,0,4,3,2,0
37,Michel Aebischer,ch SUI,MF,MF,Pisa,it Serie A,28,1997,32.1,8,0,0,44,38,0,43,35,37,0
38,David Affengruber,at AUT,DF,DF,Elche,es La Liga,24,2001,32.8,7,1,0,34,35,2,8,50,50,0
39,Dapo Afolayan,eng ENG,MF,MF,St Pauli,de Bundesliga,27,1997,1.7,1,0,0,2,6,0,10,0,2,0
40,Emmanuel Agbadou,ci CIV,DF,DF,Wolves,eng Premier League,28,1997,12.2,1,1,0,10,5,1,13,14,21,0
41,Julen Agirrezabala,es ESP,GK,GK,Valencia,es La Liga,24,2000,18,1,0,0,0,1,0,0,0,1,0
42,Lucien Agoume,fr FRA,MF,MF,Sevilla,es La Liga,23,2002,29.8,12,0,0,58,16,8,18,49,40,0
43,Felix Agu,ng NGA,DFMF,DF,Werder Bremen,de Bundesliga,25,1999,8.3,1,0,0,8,14,3,14,11,14,0
44,Diego Aguado,es ESP,DF,DF,Real Madrid,es La Liga,18,2007,0.3,0,0,0,0,0,0,0,0,1,0
45,Marc Aguado,es ESP,MF,MF,Elche,es La Liga,25,2000,27.8,3,0,0,25,23,0,2,42,26,0
46,Pablo Agudín,es ESP,MF,MF,Oviedo,es La Liga,17,2007,1,0,0,0,4,1,0,2,0,0,0
47,Nayef Aguerd,ma MAR,DF,DF,Marseille,fr Ligue 1,29,1996,15.5,4,0,0,21,6,0,2,21,16,0
48,Nayef Aguerd,ma MAR,DF,DF,West Ham,eng Premier League,29,1996,2,0,0,0,0,1,0,2,1,0,0
49,Ruben Aguilar,fr FRA,MF,MF,Lens,fr Ligue 1,32,1993,19.1,6,1,1,26,12,5,86,24,24,0
50,Ibai Aguirre,es ESP,MF,MF,Real Sociedad,es La Liga,18,2007,0.1,0,0,0,1,0,0,0,0,0,0
51,Naouirou Ahamada,fr FRA,MF,MF,Auxerre,fr Ligue 1,23,2002,7.6,0,0,0,5,9,1,6,5,10,0
52,Honest Ahanor,it ITA,DF,DF,Atalanta,it Serie A,17,2008,15.3,2,1,0,24,28,0,2,24,20,0
53,Lucas Ahijado,es ESP,DF,DF,Oviedo,es La Liga,30,1995,12.2,3,0,0,14,3,2,16,17,29,0
54,Joseph Aidoo,gh GHA,DF,DF,Celta Vigo,es La Liga,29,1995,7.1,0,0,0,5,1,0,0,10,3,0
55,Ola Aina,ng NGA,DF,DF,Nottingham,eng Premier League,28,1996,17.6,3,0,0,13,15,0,39,26,21,0
56,Abdelhamid Ait Boudlal,ma MAR,DF,DF,Rennes,fr Ligue 1,19,2006,15.6,3,1,0,14,10,1,2,18,11,0
57,Rayan Aït-Nouri,dz ALG,DF,DF,Manchester City,eng Premier League,24,2001,10.8,2,0,0,17,10,0,22,13,21,0
58,Tosin Aiyegun,bj BEN,FWMF,FW,Lorient,fr Ligue 1,27,1998,11.9,1,0,0,11,13,3,6,1,5,0
59,Junior Ajayi,ci CIV,FW,FW,Hellas Verona,it Serie A,20,2004,0,0,0,0,0,0,0,0,0,0,0
60,Kristoffer Ajer,no NOR,DF,DF,Brentford,eng Premier League,27,1998,20.1,4,0,0,23,5,0,7,15,23,0
61,Ludovic Ajorque,fr FRA,FW,FW,Brest,fr Ligue 1,31,1994,31.3,9,1,0,65,55,14,9,11,20,0
62,Manuel Akanji,ch SUI,DF,DF,Inter,it Serie A,30,1995,31.3,4,0,0,26,18,2,3,37,24,0
63,Nathan Aké,nl NED,DF,DF,Manchester City,eng Premier League,30,1995,7.7,1,0,0,3,8,1,4,5,6,0
64,Ilias Akhomach,ma MAR,MF,MF,Villarreal,es La Liga,21,2004,2.1,0,0,0,9,7,0,9,0,4,0
65,Ilias Akhomach,ma MAR,MFFW,MF,Rayo Vallecano,es La Liga,21,2004,7.9,2,0,0,9,29,1,22,2,10,0
66,Ebenezer Akinsanmiro,ng NGA,MF,MF,Pisa,it Serie A,20,2004,16,2,0,0,30,28,1,9,27,25,0
67,Maghnes Akliouche,fr FRA,MFFW,MF,Monaco,fr Ligue 1,23,2002,26.7,3,0,0,29,36,9,53,18,26,0
68,Clément Akpa,ci CIV,DF,DF,Auxerre,fr Ligue 1,23,2001,21.6,4,1,1,12,30,1,30,23,19,2
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,MF,Hellas Verona,it Serie A,32,1992,16.7,9,0,0,39,15,0,17,22,32,0
70,Kevin Akpoguma,ng NGA,DF,DF,Hoffenheim,de Bundesliga,30,1995,0.7,0,1,0,1,0,0,0,1,1,0
71,Al-Musrati,ly LBY,MF,MF,Hellas Verona,it Serie A,29,1996,9.4,6,1,1,15,3,1,2,11,7,0
72,David Alaba,at AUT,DF,DF,Real Madrid,es La Liga,33,1992,4.7,1,0,0,1,0,0,0,0,4,0
73,Agustín Albarracín,uy URU,FW,FW,Cagliari,it Serie A,19,2005,0.4,0,0,0,0,3,0,2,0,0,0
74,Mathis Albert,us USA,FW,FW,Dortmund,de Bundesliga,16,2009,0,0,0,0,1,0,0,1,0,1,0
75,Raúl Albiol,es ESP,DF,DF,Pisa,it Serie A,39,1985,5.6,1,0,0,6,2,0,1,7,4,0
76,Carlos Alcaraz,ar ARG,MF,MF,Everton,eng Premier League,22,2002,7.7,4,0,0,10,12,1,6,2,9,0
77,Omar Alderete,py PAR,DF,DF,Sunderland,eng Premier League,28,1996,31.1,6,0,0,34,10,5,11,36,18,0
78,Alexandre Alemão,br BRA,FW,FW,Rayo Vallecano,es La Liga,27,1998,12.6,3,0,0,23,27,4,5,1,2,0
79,Carles Aleñá,es ESP,MF,MF,Alavés,es La Liga,27,1998,22.1,5,0,0,38,36,1,121,12,24,0
80,Trent Alexander-Arnold,eng ENG,DF,DF,Real Madrid,es La Liga,26,1998,12.9,4,0,0,10,5,0,126,13,10,0
81,Alfon,es ESP,MF,MF,Villarreal,es La Liga,26,1999,3.7,0,0,0,7,2,1,9,2,1,0
82,Alfon,es ESP,MF,MF,Sevilla,es La Liga,26,1999,3.5,0,0,0,3,6,0,4,1,0,0
